Number of Additional Surge Beds Being Planned,Empty Adult ICU Beds,Adult ICU Staffed Bed Capacity,Number of Ventilators Available,Number of Ventilators in Hospital,Number of COVID-19 Positive Patients In Hospital,Number of Fatalities related to COVID-19 in past 24 hours,Number of COVID-19 Positive Adults in ICU,Number of ALL Patients Under Investigation for COVID-19 In Hospital,Number of new patients admitted to an inpatient bed who had confirmed COVID-19 at the time of admission in the past 24 hours,Number of new patients admitted to an inpatient bed who had suspected COVID-19 at the time of admission in the past 24 hours,Staffed Inpatient Capacity (all bed types),Inpatient Census (all bed types),Adult ICU Census,Number of Ventilators In Use,Date,Empty Inpatient Beds (all types),cms_number,hospital,Coalition
18,5,10,7,7,1,0,1,0,0,0,111,69,5,0,7/20/2020,42,340003,Northern Regional Hospital,THPC
25,5,10,7,7,1,0,1,0,0,0,107,59,5,0,6/29/2020,48,340003,Northern Regional Hospital,THPC
25,4,10,7,7,1,0,1,0,0,1,107,71,6,0,7/1/2020,36,340003,Northern Regional Hospital,THPC
18,7,10,7,7,1,0,1,1,0,0,111,57,3,0,7/17/2020,54,340003,Northern Regional Hospital,THPC
25,4,10,7,7,1,0,1,1,0,1,107,68,6,0,6/30/2020,39,340003,Northern Regional Hospital,THPC
9,5,10,13,13,2,0,1,0,0,0,78,48,5,0,7/11/2020,30,340051,Watauga Medical Center,THPC
7,3,10,12,13,1,0,1,0,0,0,76,52,7,1,6/18/2020,24,340051,Watauga Medical Center,THPC
29,3,8,14,15,4,0,1,21,0,4,81,49,5,1,7/10/2020,32,340097,Hugh Chatham Memorial Hospital,THPC
29,2,8,22,22,3,0,1,21,0,7,81,50,6,0,6/9/2020,31,340097,Hugh Chatham Memorial Hospital,THPC
0,3,8,22,22,3,0,1,20,0,3,110,39,5,0,6/8/2020,71,340097,Hugh Chatham Memorial Hospital,THPC
29,0,8,20,22,2,0,1,24,0,6,81,48,8,2,6/12/2020,33,340097,Hugh Chatham Memorial Hospital,THPC
29,1,8,21,22,3,0,1,20,0,4,81,40,7,1,6/11/2020,41,340097,Hugh Chatham Memorial Hospital,THPC
22,0,4,22,24,6,0,1,3,0,0,36,33,4,2,7/16/2020,3,340190,Novant Health - Mint Hill,THPC
0,9,16,9,9,1,0,1,0,0,0,88,38,7,0,6/26/2020,50,340096,WFBMC - Lexington MC,THPC
0,0,8,6,8,1,0,1,5,0,0,96,40,8,2,6/21/2020,56,340064,WFBMC - Wilkes Regional MC,THPC
29,5,8,22,22,2,0,1,17,0,5,81,48,3,0,6/23/2020,33,340097,Hugh Chatham Memorial Hospital,THPC
29,0,8,14,15,5,0,1,19,0,2,81,45,8,1,7/14/2020,36,340097,Hugh Chatham Memorial Hospital,THPC
29,4,8,15,15,1,0,1,21,0,5,81,42,4,0,7/22/2020,39,340097,Hugh Chatham Memorial Hospital,THPC
38,2,4,11,11,2,0,2,2,0,0,76,11,2,0,8/9/2020,65,341325,Ashe Memorial Hospital,THPC
38,0,4,11,11,2,0,2,2,0,0,76,14,4,0,8/7/2020,62,341325,Ashe Memorial Hospital,THPC
38,0,4,11,11,2,0,2,2,0,2,76,15,4,0,8/6/2020,61,341325,Ashe Memorial Hospital,THPC
29,4,8,15,15,5,0,2,15,0,0,81,38,4,0,7/25/2020,43,340097,Hugh Chatham Memorial Hospital,THPC
29,4,8,14,15,5,0,2,1,0,0,81,43,4,1,8/12/2020,38,340097,Hugh Chatham Memorial Hospital,THPC
29,4,8,15,15,7,0,2,5,0,0,81,37,4,0,8/2/2020,44,340097,Hugh Chatham Memorial Hospital,THPC
29,4,8,13,15,2,0,2,2,0,2,81,33,4,2,8/5/2020,48,340097,Hugh Chatham Memorial Hospital,THPC
29,2,8,15,15,10,0,2,7,0,4,81,47,6,0,8/1/2020,34,340097,Hugh Chatham Memorial Hospital,THPC
0,-1,8,8,8,2,0,2,1,0,5,97,41,9,0,7/17/2020,56,340064,WFBMC - Wilkes Regional MC,THPC
25,4,10,7,7,2,0,2,0,0,0,107,64,6,0,6/28/2020,43,340003,Northern Regional Hospital,THPC
23,5,53,16,23,8,0,2,3,0,0,280,164,48,7,7/12/2020,116,340004,WFBMC- High Point MC,THPC
23,4,22,14,21,9,0,2,2,0,0,275,163,18,7,7/13/2020,112,340004,WFBMC- High Point MC,THPC
0,2,8,8,8,3,0,2,1,0,0,104,46,6,0,7/14/2020,58,340064,WFBMC - Wilkes Regional MC,THPC
23,2,22,14,21,10,0,2,5,0,0,282,185,20,7,7/10/2020,97,340004,WFBMC- High Point MC,THPC
0,0,8,8,8,3,0,2,0,0,0,93,48,8,0,7/15/2020,45,340064,WFBMC - Wilkes Regional MC,THPC
0,2,8,7,8,2,0,2,1,0,0,102,42,6,1,7/13/2020,60,340064,WFBMC - Wilkes Regional MC,THPC
7,2,10,10,13,2,0,2,0,0,0,76,57,8,3,7/15/2020,19,340051,Watauga Medical Center,THPC
18,5,10,7,7,7,0,3,2,0,0,111,72,5,0,8/3/2020,39,340003,Northern Regional Hospital,THPC
0,0,10,5,7,7,0,3,0,0,0,111,74,10,2,8/24/2020,37,340003,Northern Regional Hospital,THPC
18,0,10,7,7,6,0,3,8,0,1,111,89,10,0,8/12/2020,22,340003,Northern Regional Hospital,THPC
25,0,10,5,6,3,0,3,3,0,0,107,74,10,1,6/10/2020,33,340003,Northern Regional Hospital,THPC
18,6,10,7,7,3,0,3,0,0,0,111,72,4,0,7/16/2020,39,340003,Northern Regional Hospital,THPC
25,4,10,5,6,3,0,3,0,0,0,107,78,6,1,6/11/2020,29,340003,Northern Regional Hospital,THPC
25,0,10,5,6,3,0,3,4,0,2,107,10,10,1,6/13/2020,97,340003,Northern Regional Hospital,THPC
25,1,10,5,6,3,0,3,5,0,1,107,80,9,1,6/14/2020,27,340003,Northern Regional Hospital,THPC
25,2,10,5,6,3,0,3,0,0,0,107,82,8,1,6/12/2020,25,340003,Northern Regional Hospital,THPC
23,3,38,11,17,7,0,3,2,0,0,260,153,35,6,6/28/2020,107,340004,WFBMC- High Point MC,THPC
23,2,20,15,21,9,0,3,4,0,0,266,165,18,6,6/29/2020,101,340004,WFBMC- High Point MC,THPC
23,2,19,15,21,13,0,3,6,0,0,283,186,17,6,7/9/2020,97,340004,WFBMC- High Point MC,THPC
18,1,10,7,7,7,0,4,1,0,0,111,76,9,0,7/27/2020,35,340003,Northern Regional Hospital,THPC
18,0,10,7,7,6,0,4,8,0,2,111,89,10,0,7/31/2020,22,340003,Northern Regional Hospital,THPC
18,1,10,5,7,5,0,4,4,0,1,111,79,9,2,7/23/2020,32,340003,Northern Regional Hospital,THPC
25,1,10,5,6,6,0,4,3,0,0,107,81,9,1,6/23/2020,26,340003,Northern Regional Hospital,THPC
25,4,10,7,7,4,0,4,3,0,1,107,64,6,0,6/8/2020,43,340003,Northern Regional Hospital,THPC
25,3,10,7,7,4,0,4,0,0,0,107,69,7,0,6/27/2020,38,340003,Northern Regional Hospital,THPC
25,0,10,5,6,6,0,4,5,0,2,107,80,10,1,6/22/2020,27,340003,Northern Regional Hospital,THPC
25,2,10,7,7,4,0,4,7,0,5,107,66,8,0,6/9/2020,41,340003,Northern Regional Hospital,THPC
25,1,10,7,7,4,0,4,5,0,1,107,74,9,0,6/3/2020,33,340003,Northern Regional Hospital,THPC
25,1,10,3,5,6,0,4,0,0,0,107,76,9,2,6/18/2020,31,340003,Northern Regional Hospital,THPC
23,1,34,11,17,9,0,4,0,0,0,266,160,33,6,6/27/2020,106,340004,WFBMC- High Point MC,THPC
23,3,22,17,21,12,0,4,5,0,8,283,166,19,4,7/6/2020,117,340004,WFBMC- High Point MC,THPC
23,3,21,14,21,7,0,4,5,0,0,281,192,18,7,6/30/2020,89,340004,WFBMC- High Point MC,THPC
23,3,23,11,21,10,0,4,3,0,0,288,185,20,10,6/26/2020,103,340004,WFBMC- High Point MC,THPC
23,3,25,16,21,9,0,4,2,0,8,288,177,22,5,7/3/2020,111,340004,WFBMC- High Point MC,THPC
23,1,23,17,21,12,0,4,2,0,0,309,181,22,4,7/7/2020,128,340004,WFBMC- High Point MC,THPC
23,1,19,14,21,8,0,4,3,0,0,280,181,18,7,6/25/2020,99,340004,WFBMC- High Point MC,THPC
23,3,23,17,21,15,0,4,5,0,0,296,198,20,4,7/8/2020,98,340004,WFBMC- High Point MC,THPC
23,23,46,17,21,11,0,4,3,0,0,276,147,23,4,7/5/2020,129,340004,WFBMC- High Point MC,THPC
18,2,10,7,7,8,0,5,7,0,1,111,75,8,0,8/2/2020,36,340003,Northern Regional Hospital,THPC
0,0,10,5,6,12,0,5,11,0,2,111,94,10,1,8/20/2020,17,340003,Northern Regional Hospital,THPC
18,0,10,7,7,7,0,5,6,0,5,111,79,10,0,8/11/2020,32,340003,Northern Regional Hospital,THPC
25,0,10,5,6,6,0,5,4,0,2,107,77,10,1,6/21/2020,30,340003,Northern Regional Hospital,THPC
25,1,10,7,7,6,0,5,0,0,0,107,87,9,0,7/7/2020,20,340003,Northern Regional Hospital,THPC
25,1,10,5,6,7,0,5,3,0,3,107,76,9,1,6/19/2020,31,340003,Northern Regional Hospital,THPC
25,4,10,7,7,5,0,5,1,0,2,107,88,6,0,7/15/2020,19,340003,Northern Regional Hospital,THPC
25,2,10,7,7,6,0,5,0,0,0,107,73,8,0,7/13/2020,34,340003,Northern Regional Hospital,THPC
23,0,58,16,21,10,0,5,4,0,0,275,158,58,5,7/18/2020,117,340004,WFBMC- High Point MC,THPC
23,5,46,14,21,12,0,5,4,0,0,278,158,41,7,7/19/2020,120,340004,WFBMC- High Point MC,THPC
23,1,26,16,21,5,0,5,1,0,7,275,178,25,5,7/17/2020,97,340004,WFBMC- High Point MC,THPC
23,0,21,17,21,11,0,5,2,0,8,295,186,21,4,7/16/2020,109,340004,WFBMC- High Point MC,THPC
23,5,23,14,21,9,0,5,3,0,0,286,180,18,7,7/1/2020,106,340004,WFBMC- High Point MC,THPC
0,0,10,7,7,8,0,6,0,0,0,111,76,10,0,8/22/2020,35,340003,Northern Regional Hospital,THPC
18,1,10,5,6,9,0,6,0,0,0,111,79,9,1,8/9/2020,32,340003,Northern Regional Hospital,THPC
18,0,10,7,7,8,0,6,7,0,3,111,75,10,0,8/1/2020,36,340003,Northern Regional Hospital,THPC
25,0,10,7,7,6,0,6,6,0,3,107,90,10,0,7/9/2020,17,340003,Northern Regional Hospital,THPC
25,0,10,6,6,6,0,6,2,0,3,107,70,10,0,6/7/2020,37,340003,Northern Regional Hospital,THPC
25,0,10,7,7,6,0,6,7,0,3,107,94,10,0,7/8/2020,13,340003,Northern Regional Hospital,THPC
25,2,10,7,7,6,0,6,0,0,0,107,74,8,0,7/12/2020,33,340003,Northern Regional Hospital,THPC
20,2,10,7,7,6,0,6,7,0,5,109,71,8,0,6/5/2020,38,340003,Northern Regional Hospital,THPC
23,2,26,13,21,14,0,6,1,0,11,281,160,24,8,7/20/2020,121,340004,WFBMC- High Point MC,THPC
23,3,21,17,21,9,0,6,3,0,8,282,169,18,4,7/2/2020,113,340004,WFBMC- High Point MC,THPC
23,4,26,13,21,14,0,6,3,0,0,266,147,22,8,6/15/2020,119,340004,WFBMC- High Point MC,THPC
23,8,32,14,21,13,0,6,2,0,6,291,181,24,7,6/4/2020,110,340004,WFBMC- High Point MC,THPC
23,6,27,13,21,14,0,6,7,0,0,286,160,21,8,6/16/2020,126,340004,WFBMC- High Point MC,THPC
23,9,32,16,21,17,0,7,2,0,13,279,181,23,5,6/5/2020,98,340004,WFBMC- High Point MC,THPC
25,0,10,7,7,7,0,7,5,0,3,107,88,10,0,7/10/2020,19,340003,Northern Regional Hospital,THPC
23,8,37,14,21,12,0,8,5,0,0,258,140,29,7,6/14/2020,118,340004,WFBMC- High Point MC,THPC
23,2,35,12,17,15,0,8,4,0,0,257,152,33,5,6/21/2020,105,340004,WFBMC- High Point MC,THPC
23,2,42,17,21,19,0,8,10,0,0,276,171,40,4,6/6/2020,105,340004,WFBMC- High Point MC,THPC
23,2,38,16,21,20,0,8,3,0,0,260,161,36,5,6/7/2020,99,340004,WFBMC- High Point MC,THPC
23,6,26,12,21,20,0,9,1,0,0,269,178,20,9,6/10/2020,91,340004,WFBMC- High Point MC,THPC
23,10,28,15,21,19,0,9,4,0,14,264,167,18,6,6/9/2020,97,340004,WFBMC- High Point MC,THPC
23,2,23,17,21,22,0,10,0,0,6,268,165,21,4,6/8/2020,103,340004,WFBMC- High Point MC,THPC
177,1,117,53,107,29,0,10,15,0,0,585,567,116,54,7/18/2020,18,340047,Wake Forest Baptist MC – Winston Campus,THPC
177,5,117,65,108,30,0,11,14,0,0,585,559,112,43,7/10/2020,26,340047,Wake Forest Baptist MC – Winston Campus,THPC
177,1,108,46,107,32,0,11,17,0,0,585,524,107,61,7/19/2020,61,340047,Wake Forest Baptist MC – Winston Campus,THPC
177,2,133,60,108,27,0,12,16,0,0,641,573,131,48,6/27/2020,68,340047,Wake Forest Baptist MC – Winston Campus,THPC
177,15,123,50,109,32,0,12,4,0,21,550,473,108,59,7/20/2020,77,340047,Wake Forest Baptist MC – Winston Campus,THPC
177,-22,96,60,108,36,0,12,28,0,0,855,855,118,48,7/4/2020,0,340047,Wake Forest Baptist MC – Winston Campus,THPC
177,1,121,59,108,28,0,13,19,0,0,599,570,120,49,7/9/2020,29,340047,Wake Forest Baptist MC – Winston Campus,THPC
177,-2,125,60,108,28,0,14,20,0,0,597,560,127,48,6/28/2020,37,340047,Wake Forest Baptist MC – Winston Campus,THPC
177,22,139,52,108,30,0,14,6,0,0,630,556,117,56,6/26/2020,74,340047,Wake Forest Baptist MC – Winston Campus,THPC
177,6,120,62,108,28,0,14,18,0,0,592,561,114,46,7/8/2020,31,340047,Wake Forest Baptist MC – Winston Campus,THPC
177,22,144,54,108,31,0,15,13,0,19,609,521,122,54,6/24/2020,88,340047,Wake Forest Baptist MC – Winston Campus,THPC
177,2,110,66,108,24,0,16,15,0,0,572,537,108,42,7/7/2020,35,340047,Wake Forest Baptist MC – Winston Campus,THPC
177,7,129,52,108,33,0,17,20,0,0,598,559,122,56,6/29/2020,39,340047,Wake Forest Baptist MC – Winston Campus,THPC
177,14,141,51,108,32,0,18,9,0,0,627,564,127,57,6/25/2020,63,340047,Wake Forest Baptist MC – Winston Campus,THPC
177,10,141,48,108,35,0,19,17,0,0,643,569,131,60,6/17/2020,74,340047,Wake Forest Baptist MC – Winston Campus,THPC
177,6,134,60,111,33,0,19,20,0,0,598,536,128,51,6/21/2020,62,340047,Wake Forest Baptist MC – Winston Campus,THPC
177,15,133,48,108,36,0,20,17,0,0,782,711,118,60,6/20/2020,71,340047,Wake Forest Baptist MC – Winston Campus,THPC
177,5,136,42,108,36,0,21,10,0,0,605,569,131,66,6/16/2020,36,340047,Wake Forest Baptist MC – Winston Campus,THPC
177,4,116,81,108,35,0,22,13,0,0,619,668,112,27,6/3/2020,-49,340047,Wake Forest Baptist MC – Winston Campus,THPC
177,13,131,62,108,34,0,22,15,0,0,660,651,118,46,6/22/2020,9,340047,Wake Forest Baptist MC – Winston Campus,THPC
177,5,129,48,108,45,0,24,12,0,32,620,514,124,60,6/11/2020,106,340047,Wake Forest Baptist MC – Winston Campus,THPC
22,-1,4,16,18,1,0,0,1,1,0,36,31,5,2,8/6/2020,5,340190,Novant Health - Mint Hill,THPC
22,-1,4,18,18,2,0,0,0,1,0,36,36,5,0,7/30/2020,0,340190,Novant Health - Mint Hill,THPC
22,2,4,17,18,2,0,0,3,1,0,36,32,2,1,8/13/2020,4,340190,Novant Health - Mint Hill,THPC
5,0,0,5,5,2,0,0,0,1,0,54,41,0,0,8/3/2020,13,340123,Randolph Hospital,THPC
5,0,0,5,5,1,0,0,1,1,1,54,45,0,0,8/1/2020,9,340123,Randolph Hospital,THPC
5,0,0,5,5,3,0,0,2,1,2,54,43,0,0,8/5/2020,11,340123,Randolph Hospital,THPC
19,1,10,11,13,4,0,0,0,1,0,78,49,9,2,8/17/2020,29,340051,Watauga Medical Center,THPC
11,8,13,24,25,4,0,0,0,1,0,80,30,5,1,8/9/2020,50,340085,Novant Health - Thomasville MC,THPC
11,6,13,21,25,6,0,0,0,1,0,80,49,7,4,8/15/2020,31,340085,Novant Health - Thomasville MC,THPC
11,5,13,20,25,7,0,0,0,1,0,80,50,8,5,8/16/2020,30,340085,Novant Health - Thomasville MC,THPC
11,5,13,23,25,5,0,0,19,1,1,80,50,8,2,8/11/2020,30,340085,Novant Health - Thomasville MC,THPC
22,-1,4,18,18,1,0,0,2,1,2,36,31,5,0,7/11/2020,5,340190,Novant Health - Mint Hill,THPC
22,1,4,15,18,1,0,0,2,1,1,36,23,3,3,6/10/2020,13,340190,Novant Health - Mint Hill,THPC
22,2,4,17,18,3,0,0,1,1,1,36,29,2,1,7/19/2020,7,340190,Novant Health - Mint Hill,THPC
22,-3,4,15,18,1,0,0,3,1,2,36,37,7,3,6/26/2020,-1,340190,Novant Health - Mint Hill,THPC
0,4,8,7,8,2,0,0,1,1,4,104,45,4,1,7/20/2020,59,340064,WFBMC - Wilkes Regional MC,THPC
25,5,8,5,5,2,0,0,6,1,4,50,29,3,0,6/18/2020,21,340060,UNC Rockingham Hospital,THPC
9,6,10,13,13,1,0,0,0,1,0,78,40,4,0,6/11/2020,38,340051,Watauga Medical Center,THPC
29,5,8,22,22,2,0,0,19,1,1,81,43,3,0,6/18/2020,38,340097,Hugh Chatham Memorial Hospital,THPC
29,5,8,15,15,3,0,0,7,1,7,81,43,3,0,7/19/2020,38,340097,Hugh Chatham Memorial Hospital,THPC
29,3,8,15,15,3,0,0,26,1,1,81,51,5,0,7/20/2020,30,340097,Hugh Chatham Memorial Hospital,THPC
0,4,8,22,22,3,0,0,0,1,0,81,33,4,0,6/27/2020,48,340097,Hugh Chatham Memorial Hospital,THPC
29,3,8,14,15,4,0,0,14,1,1,81,49,5,1,7/1/2020,32,340097,Hugh Chatham Memorial Hospital,THPC
22,0,4,18,18,1,0,1,1,1,0,36,20,4,0,8/10/2020,16,340190,Novant Health - Mint Hill,THPC
22,2,4,18,18,1,0,1,0,1,0,36,22,2,0,8/11/2020,14,340190,Novant Health - Mint Hill,THPC
38,1,4,11,11,1,0,1,4,1,0,76,16,3,0,8/4/2020,60,341325,Ashe Memorial Hospital,THPC
29,5,8,15,15,5,0,1,1,1,0,81,50,3,0,8/19/2020,31,340097,Hugh Chatham Memorial Hospital,THPC
29,0,8,15,15,10,0,1,14,1,2,81,50,8,0,7/28/2020,31,340097,Hugh Chatham Memorial Hospital,THPC
29,2,8,15,15,9,0,1,14,1,7,81,37,6,0,7/29/2020,44,340097,Hugh Chatham Memorial Hospital,THPC
38,1,4,11,11,1,0,1,0,1,0,76,16,3,0,7/15/2020,60,341325,Ashe Memorial Hospital,THPC
38,2,4,11,11,1,0,1,0,1,0,76,12,2,0,7/17/2020,64,341325,Ashe Memorial Hospital,THPC
38,0,4,11,11,1,0,1,1,1,0,76,14,4,0,7/14/2020,62,341325,Ashe Memorial Hospital,THPC
22,1,4,18,18,1,0,1,0,1,0,36,26,3,0,7/2/2020,10,340190,Novant Health - Mint Hill,THPC
25,7,8,5,5,3,0,1,3,1,0,50,29,1,0,6/21/2020,21,340060,UNC Rockingham Hospital,THPC
25,7,8,5,5,2,0,1,2,1,2,50,43,1,0,6/19/2020,7,340060,UNC Rockingham Hospital,THPC
25,7,8,5,5,2,0,1,4,1,0,50,33,1,0,6/20/2020,17,340060,UNC Rockingham Hospital,THPC
18,8,10,7,7,1,0,1,0,1,0,111,63,2,0,7/19/2020,48,340003,Northern Regional Hospital,THPC
9,3,10,12,13,1,0,1,0,1,0,117,49,7,1,6/4/2020,68,340051,Watauga Medical Center,THPC
7,5,10,13,13,1,0,1,0,1,0,76,29,5,0,6/29/2020,47,340051,Watauga Medical Center,THPC
29,4,8,22,22,2,0,1,13,1,3,81,31,4,0,6/22/2020,50,340097,Hugh Chatham Memorial Hospital,THPC
38,1,4,11,11,2,0,2,2,1,3,76,12,3,0,8/5/2020,64,341325,Ashe Memorial Hospital,THPC
7,3,10,13,13,6,0,2,0,1,0,76,53,7,0,7/18/2020,23,340051,Watauga Medical Center,THPC
7,7,10,11,13,2,0,2,0,1,0,76,54,3,2,7/8/2020,22,340051,Watauga Medical Center,THPC
18,0,10,7,7,8,0,3,1,1,0,111,85,10,0,7/28/2020,26,340003,Northern Regional Hospital,THPC
0,0,10,5,7,8,0,3,0,1,0,111,88,10,2,8/25/2020,23,340003,Northern Regional Hospital,THPC
29,3,8,15,15,6,0,3,2,1,1,81,56,5,0,8/17/2020,25,340097,Hugh Chatham Memorial Hospital,THPC
25,1,10,5,6,3,0,3,1,1,0,107,86,9,1,7/4/2020,21,340003,Northern Regional Hospital,THPC
25,1,10,6,6,4,0,3,0,1,0,107,89,9,0,7/5/2020,18,340003,Northern Regional Hospital,THPC
7,10,10,13,13,3,0,3,1,1,0,75,46,0,0,7/13/2020,29,340051,Watauga Medical Center,THPC
7,7,10,11,13,3,0,3,0,1,0,76,49,3,2,7/10/2020,27,340051,Watauga Medical Center,THPC
10,2,10,7,8,3,0,3,0,1,0,59,54,8,1,7/9/2020,5,340051,Watauga Medical Center,THPC
18,0,10,7,7,8,0,4,3,1,1,111,89,10,0,7/29/2020,22,340003,Northern Regional Hospital,THPC
18,1,10,7,7,8,0,4,8,1,3,111,88,9,0,7/30/2020,23,340003,Northern Regional Hospital,THPC
18,0,10,7,7,5,0,4,6,1,5,111,85,10,0,8/13/2020,26,340003,Northern Regional Hospital,THPC
25,1,10,5,6,6,0,4,4,1,2,107,78,9,1,6/20/2020,29,340003,Northern Regional Hospital,THPC
25,0,10,7,7,4,0,4,2,1,1,107,80,10,0,6/15/2020,27,340003,Northern Regional Hospital,THPC
18,0,10,6,7,6,0,4,6,1,3,111,80,10,1,7/24/2020,31,340003,Northern Regional Hospital,THPC
18,1,10,6,7,13,0,5,0,1,0,111,91,9,1,8/18/2020,20,340003,Northern Regional Hospital,THPC
0,0,10,5,6,12,0,5,9,1,1,111,86,10,1,8/21/2020,25,340003,Northern Regional Hospital,THPC
18,2,10,7,7,8,0,5,2,1,2,111,69,8,0,8/5/2020,42,340003,Northern Regional Hospital,THPC
25,2,10,7,7,5,0,5,0,1,0,107,74,8,0,6/25/2020,33,340003,Northern Regional Hospital,THPC
25,0,10,7,7,7,0,5,1,1,0,107,83,10,0,6/24/2020,24,340003,Northern Regional Hospital,THPC
25,1,10,7,7,5,0,5,4,1,1,107,79,9,0,6/16/2020,28,340003,Northern Regional Hospital,THPC
18,3,10,5,6,11,0,6,1,1,1,111,83,7,1,8/8/2020,28,340003,Northern Regional Hospital,THPC
18,0,10,7,7,8,0,6,2,1,2,111,85,10,0,8/14/2020,26,340003,Northern Regional Hospital,THPC
25,0,10,7,7,6,0,6,8,1,3,107,71,10,0,6/6/2020,36,340003,Northern Regional Hospital,THPC
25,0,10,7,7,6,0,6,0,1,0,107,74,10,0,6/26/2020,33,340003,Northern Regional Hospital,THPC
25,3,10,7,7,6,0,6,5,1,1,107,72,7,0,6/4/2020,35,340003,Northern Regional Hospital,THPC
177,26,130,54,107,30,0,9,9,1,18,589,558,104,53,7/17/2020,31,340047,Wake Forest Baptist MC – Winston Campus,THPC
177,11,123,54,108,28,0,11,15,1,17,621,524,112,54,7/2/2020,97,340047,Wake Forest Baptist MC – Winston Campus,THPC
177,14,143,52,108,30,0,17,18,1,16,581,546,129,56,6/23/2020,35,340047,Wake Forest Baptist MC – Winston Campus,THPC
0,0,0,0,0,0,0,0,2,2,0,14,8,0,0,8/24/2020,6,341317,LifeBright Community Hospital of Stokes,THPC
22,0,4,17,18,2,0,0,1,2,0,36,25,4,1,7/26/2020,11,340190,Novant Health - Mint Hill,THPC
22,-1,4,16,18,3,0,0,1,2,0,36,37,5,2,8/8/2020,-1,340190,Novant Health - Mint Hill,THPC
19,6,10,11,13,2,0,0,1,2,0,78,45,4,2,7/27/2020,33,340051,Watauga Medical Center,THPC
7,10,16,12,13,3,0,0,0,2,0,76,43,6,1,8/16/2020,33,340051,Watauga Medical Center,THPC
0,14,16,12,13,3,0,0,0,2,0,76,51,2,1,8/5/2020,25,340051,Watauga Medical Center,THPC
7,9,16,10,13,3,0,0,0,2,0,76,47,7,3,7/28/2020,29,340051,Watauga Medical Center,THPC
7,7,16,12,13,4,0,0,0,2,0,76,69,9,1,7/31/2020,7,340051,Watauga Medical Center,THPC
7,12,16,12,13,5,0,0,0,2,0,76,49,4,1,8/9/2020,27,340051,Watauga Medical Center,THPC
11,8,13,23,25,2,0,0,0,2,0,80,49,5,2,8/4/2020,31,340085,Novant Health - Thomasville MC,THPC
11,10,13,24,25,6,0,0,1,2,1,80,33,3,1,8/6/2020,47,340085,Novant Health - Thomasville MC,THPC
29,3,8,14,15,7,0,0,2,2,1,81,51,5,1,8/25/2020,30,340097,Hugh Chatham Memorial Hospital,THPC
18,5,10,12,13,7,0,0,0,2,0,78,40,5,1,7/20/2020,38,340051,Watauga Medical Center,THPC
22,0,4,16,18,2,0,0,0,2,0,36,24,4,2,7/4/2020,12,340190,Novant Health - Mint Hill,THPC
29,6,8,15,15,6,0,1,0,2,0,81,34,2,0,8/23/2020,47,340097,Hugh Chatham Memorial Hospital,THPC
22,-2,4,17,18,2,0,1,1,2,1,36,31,6,1,7/14/2020,5,340190,Novant Health - Mint Hill,THPC
29,4,8,15,15,5,0,1,17,2,3,81,38,4,0,7/24/2020,43,340097,Hugh Chatham Memorial Hospital,THPC
29,4,8,22,22,4,0,1,20,2,7,81,47,4,0,6/24/2020,34,340097,Hugh Chatham Memorial Hospital,THPC
25,2,10,0,0,2,0,2,0,2,0,107,78,8,0,7/3/2020,29,340003,Northern Regional Hospital,THPC
7,1,10,13,13,6,0,2,0,2,0,76,42,9,0,7/19/2020,34,340051,Watauga Medical Center,THPC
29,2,8,15,15,3,0,2,15,2,5,81,35,6,0,7/23/2020,46,340097,Hugh Chatham Memorial Hospital,THPC
29,2,8,14,15,5,0,3,0,2,0,81,33,6,1,8/7/2020,48,340097,Hugh Chatham Memorial Hospital,THPC
29,2,8,15,15,9,0,3,2,2,2,81,53,6,0,8/10/2020,28,340097,Hugh Chatham Memorial Hospital,THPC
18,0,10,7,7,8,0,4,5,2,1,111,85,10,0,7/25/2020,26,340003,Northern Regional Hospital,THPC
18,2,10,6,7,4,0,4,2,2,0,111,63,8,1,7/21/2020,48,340003,Northern Regional Hospital,THPC
25,4,10,7,7,5,0,4,0,2,0,107,80,6,0,7/14/2020,27,340003,Northern Regional Hospital,THPC
25,0,10,3,5,6,0,4,0,2,0,107,81,10,2,6/17/2020,26,340003,Northern Regional Hospital,THPC
18,0,10,7,7,10,0,5,5,2,0,111,81,10,0,7/26/2020,30,340003,Northern Regional Hospital,THPC
18,0,10,6,7,12,0,5,0,2,0,111,84,10,1,8/17/2020,27,340003,Northern Regional Hospital,THPC
18,0,10,4,5,9,0,5,1,2,4,111,90,10,1,8/15/2020,21,340003,Northern Regional Hospital,THPC
18,0,10,6,7,5,0,5,2,2,2,111,75,10,1,7/22/2020,36,340003,Northern Regional Hospital,THPC
23,2,23,15,21,16,0,5,2,2,2,280,168,21,6,7/14/2020,112,340004,WFBMC- High Point MC,THPC
18,2,10,6,7,10,0,6,2,2,0,111,83,8,1,8/7/2020,28,340003,Northern Regional Hospital,THPC
18,0,10,7,7,12,0,6,3,2,2,111,106,10,0,8/19/2020,5,340003,Northern Regional Hospital,THPC
25,0,10,7,7,7,0,6,0,2,0,107,95,10,0,7/6/2020,12,340003,Northern Regional Hospital,THPC
25,0,10,5,6,6,0,6,3,2,0,107,89,10,1,7/11/2020,18,340003,Northern Regional Hospital,THPC
18,0,10,7,7,10,0,7,1,2,0,111,85,10,0,8/6/2020,26,340003,Northern Regional Hospital,THPC
