Number of Additional Surge Beds Being Planned,Empty Adult ICU Beds,Adult ICU Staffed Bed Capacity,Number of Ventilators Available,Number of Ventilators in Hospital,Number of COVID-19 Positive Patients In Hospital,Number of Fatalities related to COVID-19 in past 24 hours,Number of COVID-19 Positive Adults in ICU,Number of ALL Patients Under Investigation for COVID-19 In Hospital,Number of new patients admitted to an inpatient bed who had confirmed COVID-19 at the time of admission in the past 24 hours,Number of new patients admitted to an inpatient bed who had suspected COVID-19 at the time of admission in the past 24 hours,Staffed Inpatient Capacity (all bed types),Inpatient Census (all bed types),Adult ICU Census,Number of Ventilators In Use,Date,Empty Inpatient Beds (all types),cms_number,hospital_name,Coalition
60,15,120,93,181,51,0,9,0,6,0,888,806,105,88,11/12/2020,82,340040,Vidant Medical Center,EHPC
16,6,8,11,13,24,1,2,0,2,0,104,84,2,2,11/23/2020,20,340008,Scotland Health Care System,MHPC
12,3,10,9,13,1,1,4,0,1,0,96,85,7,4,11/22/2020,11,340051,Watauga Medical Center,THPC
14,0,0,6,6,3,0,0,0,0,0,17,14,0,0,1/7/2021,3,341324,The Outer Banks Hospital,EHPC
0,0,0,1,1,2,0,0,2,0,0,0,0,0,0,1/8/2021,0,341316,Highlands Cashiers Hospital,MAHPC
0,8,25,27,27,23,0,5,6,8,0,295,149,17,0,11/1/2020,146,340050,Southeastern Regional Medical Center,DHPC
14,0,10,17,18,23,1,5,0,3,0,54,54,10,1,1/19/2021,0,340186,Vidant Beaufort Hospital,EHPC
29,2,5,25,26,9,0,1,4,2,0,114,61,3,1,12/23/2020,53,340158,Novant Health - Brunswick MC,SHPR
0,46,117,42,91,107,1,33,28,18,19,772,569,71,49,1/10/2021,203,340002,Mission Health Hospital,MAHPC
57,2,12,8,10,3,0,0,11,2,2,53,38,10,2,11/10/2020,15,340091,Cone Health Annie Penn Hospital,THPC
0,12,38,21,27,42,0,9,0,4,0,331,233,26,6,11/26/2020,98,340115,FirstHealth Moore Regional Hospital,MCRHC
11,5,13,22,25,13,0,5,1,2,0,150,78,8,3,12/19/2020,72,340085,Novant Health - Thomasville MC,THPC
12,5,12,11,11,9,1,3,1,1,0,97,44,7,0,11/27/2020,53,340129,Lake Norman Regional Medical Center,MHPC
0,4,4,3,3,4,0,0,1,0,2,27,16,0,0,1/6/2021,11,341315,Cape Fear Valley Bladen Hospital,SHPR
29,0,5,25,26,11,0,3,1,0,1,114,83,5,1,12/29/2020,31,340158,Novant Health - Brunswick MC,SHPR
0,0,0,1,1,2,0,0,0,0,0,8,8,0,0,1/28/2021,0,340115,FirstHealth Moore Regional Hospital - Hoke Campus,MCRHC
49,0,8,19,22,24,0,1,0,2,0,264,154,8,3,12/12/2020,110,340183,Novant Health - Huntersville,MHPC
,,,,,,,,,,,,,,,1/1/2021,,100,Durham VA,DHPC
10,0,6,7,8,4,0,3,0,1,0,53,47,6,1,12/3/2020,6,340127,Granville Health System,DHPC
4,2,8,6,6,15,0,6,0,1,0,53,33,6,0,12/20/2020,20,340115,FirstHealth Richmond Memorial Hospital,MCRHC
12,1,12,10,11,12,0,5,0,1,0,97,65,11,1,12/12/2020,32,340129,Lake Norman Regional Medical Center,MHPC
51,2,16,12,21,43,0,11,0,8,0,154,116,14,9,12/15/2020,38,340039,Iredell Health System,THPC
30,1,8,7,12,13,0,3,0,3,0,77,53,7,5,1/16/2021,24,340132,Maria Parham Medical Center,DHPC
18,2,8,26,36,41,1,8,13,4,1,134,88,6,10,1/4/2021,46,340166,Atrium Health - University,MHPC
0,5,33,20,47,98,5,10,0,1,0,412,313,28,27,1/21/2021,99,340032,CaroMont Health,MHPC
0,0,0,2,2,1,0,0,3,0,1,15,6,0,0,11/8/2020,9,340084,Atrium Health - Anson,MHPC
0,2,9,3,3,8,0,0,2,3,3,37,18,7,0,1/24/2021,19,341326,Angel Medical Center,MAHPC
0,3,9,3,3,6,1,0,1,1,2,37,14,6,0,1/21/2021,23,341326,Angel Medical Center,MAHPC
13,14,20,28,29,1,0,1,27,0,11,219,119,6,1,11/1/2020,100,340113,Atrium Health - Main,MHPC
36,2,10,17,22,17,0,6,15,4,6,113,69,8,5,11/2/2020,44,340145,Atrium Health - Lincoln,MHPC
9,0,0,3,3,0,0,0,0,1,0,16,11,0,0,1/4/2021,5,341314,Washington Regional Medical Center,EHPC
136,4,76,85,123,119,4,34,11,2,5,588,502,72,38,1/17/2021,86,340069,Wake Medical Center,CapRAC
18,0,8,22,35,37,1,8,11,2,1,134,99,8,13,1/2/2021,35,340166,Atrium Health - University,MHPC
0,7,22,41,51,51,2,5,2,10,0,269,180,15,10,1/13/2021,89,340015,Novant Health - Rowan Medical Center,THPC
10,1,10,11,15,2,0,1,9,1,0,84,48,9,4,11/30/2020,36,340119,Atrium Health - Stanly,MHPC
134,17,74,31,57,87,2,10,3,10,0,556,445,57,26,1/21/2021,111,340091,Cone Health Moses H. Cone Memorial Hospital,THPC
59,0,10,33,41,30,1,5,4,5,0,246,173,10,8,12/16/2020,73,340171,Novant Health - Matthews,MHPC
11,2,13,18,24,26,1,7,2,1,0,150,84,11,6,1/23/2021,66,340085,Novant Health - Thomasville MC,THPC
2,4,12,25,26,10,0,3,5,1,8,86,60,8,1,11/14/2020,26,340041,UNC- Caldwell Memorial Hospital,THPC
0,0,8,7,8,15,0,3,1,1,1,115,53,8,1,1/5/2021,62,340064,WFBMC - Wilkes Regional MC,THPC
49,0,0,5,5,1,0,0,0,1,0,27,14,0,0,12/28/2020,13,341325,Ashe Memorial Hospital,THPC
4,3,8,2,6,19,0,4,0,3,0,53,33,5,4,1/9/2021,20,340115,FirstHealth Richmond Memorial Hospital,MCRHC
51,0,16,9,21,52,0,11,0,8,0,154,114,16,12,1/14/2021,40,340039,Iredell Health System,THPC
41,13,22,35,37,35,0,6,7,7,12,153,83,9,2,12/26/2020,70,340017,Pardee Hospital,MAHPC
30,2,8,9,12,8,0,2,0,0,0,77,55,6,3,12/3/2020,22,340132,Maria Parham Medical Center,DHPC
0,4,17,6,9,10,0,5,0,0,0,112,53,13,3,12/9/2020,59,340096,WFBMC - Lexington MC,THPC
27,0,0,13,13,4,0,0,0,0,0,42,36,0,0,12/14/2020,6,340014,Novant Health - Forsyth MC,THPC
5,1,4,9,11,0,0,0,1,0,0,55,37,3,2,12/14/2020,18,340123,Randolph Hospital,THPC
10,0,8,4,9,0,2,2,0,0,0,86,82,8,5,12/18/2020,4,340099,Vidant Roanoke Chowan Hospital,EHPC
49,0,0,5,5,0,0,0,0,0,0,27,15,0,0,11/11/2020,12,341325,Ashe Memorial Hospital,THPC
49,0,8,16,22,15,0,3,2,0,1,264,151,8,6,11/30/2020,113,340183,Novant Health - Huntersville,MHPC
11,2,13,23,25,8,0,3,1,1,0,150,84,11,2,12/16/2020,66,340085,Novant Health - Thomasville MC,THPC
0,0,0,0,0,0,0,0,0,0,0,8,6,0,0,12/12/2020,2,341323,Cannon Hospital,MAHPC
11,0,13,19,25,26,1,7,0,0,0,150,94,13,6,1/5/2021,56,340085,Novant Health - Thomasville MC,THPC
0,19,91,48,91,35,0,11,21,4,10,712,561,72,43,11/8/2020,151,340002,Mission Health Hospital,MAHPC
65,1,12,15,17,16,1,5,2,3,3,170,152,11,2,11/26/2020,18,340173,Wake Medical Center Cary,CapRAC
143,7,65,36,57,44,2,8,6,3,12,630,521,58,21,11/23/2020,109,340028,Cape Fear Valley Medical Center,MCRHC
63,2,12,9,10,17,0,1,1,3,0,53,47,10,1,1/14/2021,6,340091,Cone Health Annie Penn Hospital,THPC
0,33,117,39,91,109,1,28,28,10,19,767,615,84,52,1/20/2021,152,340002,Mission Health Hospital,MAHPC
16,0,9,9,13,25,0,3,0,5,0,107,96,9,4,12/2/2020,11,340008,Scotland Health Care System,MHPC
16,0,14,6,13,40,0,8,0,8,0,112,103,14,7,1/16/2021,9,340008,Scotland Health Care System,MHPC
48,2,18,25,36,27,0,6,1,8,2,288,239,16,11,11/13/2020,49,340155,Duke Regional Hospital,DHPC
25,1,8,13,14,4,0,4,1,2,0,88,61,7,1,12/11/2020,27,340144,Davis Regional MC,THPC
0,0,0,0,0,0,0,0,0,0,0,45,18,0,0,11/16/2020,27,340187,WFBMC- Davie MC,THPC
10,0,10,10,12,11,1,4,0,3,0,89,79,10,2,12/31/2020,10,340142,Carteret General Hospital,EHPC
0,5,9,3,3,0,0,0,3,0,1,30,14,4,0,11/23/2020,16,341319,Transylvania Regional Hospital,MAHPC
0,2,10,6,7,11,0,4,1,3,0,78,56,8,1,11/18/2020,22,340003,Northern Regional Hospital,THPC
143,5,65,35,57,48,1,8,15,5,24,631,520,60,22,11/30/2020,111,340028,Cape Fear Valley Medical Center,MCRHC
11,10,13,21,25,8,0,2,1,1,0,155,79,3,4,11/14/2020,76,340085,Novant Health - Thomasville MC,THPC
0,4,4,3,3,0,0,0,0,0,0,27,22,0,0,11/18/2020,5,341315,Cape Fear Valley Bladen Hospital,SHPR
10,2,7,17,18,3,0,2,5,2,3,77,32,5,1,11/5/2020,45,340190,Novant Health - Mint Hill,THPC
10,0,18,29,40,55,0,13,22,10,4,203,148,18,11,1/11/2021,55,340021,Atrium Health - Cleveland,MHPC
24,1,20,8,10,23,1,3,19,3,2,151,128,19,2,11/23/2020,23,340091,Cone Health Wesley Long Hospital,THPC
18,2,6,5,7,1,0,1,1,0,0,18,8,4,2,11/29/2020,10,340133,Martin General Hospital,EHPC
44,12,121,102,188,49,0,18,72,5,19,871,788,109,86,11/5/2020,83,340113,Atrium Health - Main,MHPC
136,5,76,104,123,46,1,14,2,0,8,520,458,71,19,11/10/2020,62,340069,Wake Medical Center,CapRAC
22,9,59,26,34,32,0,10,1,2,10,177,136,50,8,12/7/2020,41,340090,Johnston UNC Health Care,CapRAC
25,3,8,13,14,4,0,4,0,0,0,88,58,5,1,11/20/2020,30,340144,Davis Regional MC,THPC
44,7,14,8,9,26,0,2,0,3,0,163,81,7,1,12/25/2020,82,340151,Vidant - North,EHPC
45,24,136,236,295,46,1,23,1,7,19,817,672,112,59,12/2/2020,145,340061,UNC Medical Center,MCRHC
27,0,0,13,13,4,0,0,0,1,0,42,36,0,0,12/4/2020,6,340014,Novant Health - Forsyth MC,THPC
13,0,0,0,0,1,0,0,0,1,0,18,10,0,0,1/23/2021,8,340156,Cherokee Indian Hospital,MAHPC
4,43,181,118,134,26,0,12,3,3,12,487,364,138,16,11/21/2020,123,340114,UNC Rex Hospital,MCRHC
37,1,12,10,14,20,0,3,0,4,0,142,141,11,4,12/16/2020,1,340042,Onslow Memorial Hospital,EHPC
65,0,12,9,17,37,0,10,4,0,3,178,158,12,8,1/24/2021,20,340173,Wake Medical Center Cary,CapRAC
56,1,8,8,10,10,0,4,0,1,0,67,33,7,2,1/8/2021,34,340024,Sampson Regional Medical Center,MCRHC
0,0,0,1,1,0,0,0,0,0,0,8,3,0,0,1/13/2021,5,341323,Cannon Hospital,MAHPC
30,6,112,162,230,168,2,37,14,10,1,1022,815,106,68,1/24/2021,207,340014,Novant Health - Forsyth MC,THPC
0,1,8,19,35,0,0,0,0,0,0,93,59,7,16,12/29/2020,34,342014,Highsmith-Rainey Specialty Hospital,MCRHC
0,1,8,22,35,0,0,0,0,0,0,93,57,7,13,12/6/2020,36,342014,Highsmith-Rainey Specialty Hospital,MCRHC
12,3,12,9,11,3,0,6,0,3,0,97,50,9,2,12/14/2020,47,340129,Lake Norman Regional Medical Center,MHPC
,,,,,,,,,,,,,,,1/8/2021,,100,Durham VA,DHPC
23,1,27,11,22,21,1,5,1,2,0,250,176,26,11,11/21/2020,74,340004,WFBMC- High Point MC,THPC
5,1,9,8,12,0,0,3,0,0,0,95,72,8,4,11/5/2020,23,340016,Harris Hosptial,MAHPC
10,0,10,12,16,7,0,2,7,0,1,84,57,10,4,12/5/2020,27,340119,Atrium Health - Stanly,MHPC
65,0,12,9,17,35,0,9,1,1,4,178,146,12,8,1/27/2021,32,340173,Wake Medical Center Cary,CapRAC
69,21,64,49,67,75,3,14,38,12,9,503,396,43,18,12/18/2020,107,340001,Atrium Health - Cabarrus,MHPC
7,1,9,9,10,16,0,4,0,3,0,34,31,8,1,1/22/2021,3,340120,Vidant Duplin Hospital,EHPC
0,0,0,0,0,0,0,0,0,0,0,43,14,0,0,11/7/2020,29,340187,WFBMC- Davie MC,THPC
,,,,,,,,,,,,,,,12/17/2020,,102,Womack Army Medical Center,MCRHC
277,20,112,62,130,55,1,17,3,8,1,865,818,92,68,11/16/2020,47,340030,Duke University Hospital,DHPC
7,0,0,4,4,0,0,0,0,0,0,18,10,0,0,11/23/2020,8,341307,Pender Memorial Hospital,SHPR
0,2,14,26,41,30,2,0,0,5,0,261,130,12,15,12/31/2020,131,340027,UNC Lenoir Hospital,EHPC
0,0,0,0,0,0,0,0,0,0,0,46,15,0,0,12/25/2020,31,340187,WFBMC- Davie MC,THPC
25,0,8,13,14,5,0,5,0,2,0,88,59,8,1,12/8/2020,29,340144,Davis Regional MC,THPC
60,33,120,89,181,92,0,14,0,15,0,888,728,87,92,12/27/2020,160,340040,Vidant Medical Center,EHPC
0,7,9,3,3,1,1,0,1,1,2,30,16,2,0,12/9/2020,14,341319,Transylvania Regional Hospital,MAHPC
24,0,8,28,34,23,0,5,11,3,0,146,86,8,6,12/18/2020,60,340166,Atrium Health - University,MHPC
18,0,8,27,33,31,0,3,6,2,0,136,92,8,6,12/25/2020,44,340166,Atrium Health - University,MHPC
136,8,76,90,123,108,2,26,1,0,9,588,512,68,33,1/28/2021,76,340069,Wake Medical Center,CapRAC
0,0,0,2,2,4,0,0,6,1,1,15,15,0,0,11/23/2020,0,340084,Atrium Health - Anson,MHPC
12,6,10,9,13,19,0,4,0,4,0,96,77,4,4,12/18/2020,19,340051,Watauga Medical Center,THPC
44,9,121,113,189,75,1,27,46,8,23,871,739,112,76,11/26/2020,132,340113,Atrium Health - Main,MHPC
36,0,10,21,22,13,0,2,12,1,6,113,73,10,1,11/21/2020,40,340145,Atrium Health - Lincoln,MHPC
281,6,48,98,189,36,0,8,3,3,2,795,631,42,91,11/20/2020,164,340053,Novant Health - Presbyterian,MHPC
14,0,10,17,18,1,0,0,0,0,0,54,51,10,1,11/13/2020,3,340186,Vidant Beaufort Hospital,EHPC
2,43,181,109,134,69,1,33,9,6,13,491,370,138,25,1/25/2021,121,340114,UNC Rex Hospital,MCRHC
0,0,0,1,2,4,0,0,3,0,3,32,13,0,1,11/12/2020,19,341329,Blue Ridge Regional Hospital,MAHPC
16,0,4,6,6,8,0,1,0,3,4,20,19,4,0,11/16/2020,1,341311,UNC Chatham Hospital,MCRHC
23,0,8,6,9,2,0,2,0,2,0,60,58,8,3,12/16/2020,2,340107,Vidant Edgecombe Hospital,EHPC
0,0,0,1,1,0,0,0,0,0,0,14,7,0,0,1/5/2021,7,341317,LifeBright Community Hospital of Stokes,THPC
18,2,30,44,53,56,0,15,30,5,14,281,242,28,9,12/15/2020,39,340098,Atrium Health - Pineville,MHPC
0,0,0,0,0,0,0,0,0,0,0,46,14,0,0,11/26/2020,32,340187,WFBMC- Davie MC,THPC
11,0,0,2,2,3,0,0,0,0,0,12,5,0,0,12/4/2020,7,341303,FirstHealth Montgomery Memorial Hospital,MCRHC
18,9,30,58,66,33,0,9,35,3,14,281,212,21,8,11/25/2020,69,340098,Atrium Health - Pineville,MHPC
10,1,7,18,18,6,0,0,1,3,0,77,37,6,0,12/1/2020,40,340190,Novant Health - Mint Hill,THPC
53,3,17,27,43,37,2,4,2,5,6,313,128,14,16,1/15/2021,185,340010,Wayne UNC Health Care,EHPC
49,0,0,5,5,2,0,0,0,2,0,27,15,0,0,12/19/2020,12,341325,Ashe Memorial Hospital,THPC
13,11,20,30,34,10,0,1,16,0,5,219,154,9,4,11/30/2020,65,340113,Atrium Health - Main,MHPC
29,2,8,13,15,21,0,6,0,3,0,81,54,6,2,1/24/2021,27,340097,Hugh Chatham Memorial Hospital,THPC
143,0,74,27,57,62,0,11,38,4,4,535,535,74,30,12/21/2020,0,340091,Cone Health Moses H. Cone Memorial Hospital,THPC
41,13,22,35,37,7,0,2,1,0,0,147,71,9,2,11/25/2020,76,340017,Pardee Hospital,MAHPC
0,0,0,2,2,0,0,0,0,0,0,6,5,0,0,11/10/2020,1,341320,Alleghany Memorial Hospital,THPC
10,0,8,8,9,1,0,2,0,1,0,70,66,8,1,11/17/2020,4,340099,Vidant Roanoke Chowan Hospital,EHPC
47,24,135,210,295,81,1,29,6,6,15,820,666,111,85,1/30/2021,154,340061,UNC Medical Center,MCRHC
10,1,10,14,16,2,0,0,14,1,5,84,53,9,2,11/8/2020,31,340119,Atrium Health - Stanly,MHPC
143,9,65,29,57,85,3,14,14,8,31,654,447,56,28,12/26/2020,207,340028,Cape Fear Valley Medical Center,MCRHC
7,0,0,4,4,0,0,0,0,0,0,25,13,0,0,1/23/2021,12,341327,Dosher Memorial Hospital,SHPR
4,1,8,4,6,12,0,2,0,1,0,53,44,7,2,12/10/2020,9,340115,FirstHealth Richmond Memorial Hospital,MCRHC
35,0,16,8,26,41,0,9,2,5,1,200,141,16,18,12/2/2020,59,340143,Catawba Valley Medical Center,THPC
13,11,20,26,29,1,0,0,24,0,13,219,127,9,3,11/7/2020,92,340113,Atrium Health - Main,MHPC
22,20,59,29,34,23,0,5,1,3,7,177,114,39,5,11/27/2020,63,340090,Johnston UNC Health Care,CapRAC
21,15,70,31,57,20,2,2,39,4,5,607,423,55,26,11/9/2020,184,340091,Cone Health Moses H. Cone Memorial Hospital,THPC
10,0,18,28,41,31,1,4,21,2,8,203,149,18,13,12/3/2020,54,340021,Atrium Health - Cleveland,MHPC
18,1,14,32,46,56,3,14,18,10,6,176,143,13,14,1/27/2021,33,340130,Atrium Health - Union,MHPC
11,0,0,2,2,1,0,0,0,0,0,12,4,0,0,12/10/2020,8,341303,FirstHealth Montgomery Memorial Hospital,MCRHC
16,1,4,6,6,2,0,1,0,0,3,20,12,3,0,11/3/2020,8,341311,UNC Chatham Hospital,MCRHC
7,0,9,8,10,18,1,6,1,2,1,34,34,9,2,1/6/2021,0,340120,Vidant Duplin Hospital,EHPC
5,0,3,10,11,0,0,0,0,0,0,55,45,3,1,11/25/2020,10,340123,Randolph Hospital,THPC
10,4,7,12,12,0,0,0,0,0,0,86,76,3,0,11/25/2020,10,340142,Carteret General Hospital,EHPC
26,1,6,4,4,3,0,2,0,0,0,31,15,5,0,12/3/2020,16,341328,Murphy Medical Center Erlanger Western Carolina Hospital,MAHPC
25,7,24,16,24,21,0,7,0,1,0,204,159,17,8,11/3/2020,45,340116,Frye Regional MC,THPC
29,6,8,15,15,9,0,1,0,4,0,81,48,2,0,11/23/2020,33,340097,Hugh Chatham Memorial Hospital,THPC
13,0,0,0,0,0,0,0,0,0,0,18,6,0,0,12/29/2020,12,340156,Cherokee Indian Hospital,MAHPC
,,,,,,,,,,,,,,,12/8/2020,,100,Durham VA,DHPC
12,0,0,2,2,0,0,0,0,0,0,6,3,0,0,11/27/2020,3,341304,Vidant Bertie Hospital,EHPC
136,2,76,75,123,126,1,34,2,3,4,588,523,74,48,1/25/2021,65,340069,Wake Medical Center,CapRAC
49,0,0,5,5,0,0,0,0,0,0,27,14,0,0,12/7/2020,13,341325,Ashe Memorial Hospital,THPC
20,2,16,9,17,33,1,4,0,0,0,138,130,14,8,1/22/2021,8,340126,Wilson Medical Center,EHPC
12,0,12,9,11,4,0,5,1,4,0,97,67,12,2,1/15/2021,30,340129,Lake Norman Regional Medical Center,MHPC
7,0,9,7,10,15,0,6,0,3,0,34,31,9,3,1/4/2021,3,340120,Vidant Duplin Hospital,EHPC
277,0,109,71,130,101,0,31,0,7,3,868,784,109,59,1/26/2021,84,340030,Duke University Hospital,DHPC
0,4,4,3,3,1,0,0,1,0,0,27,18,0,0,11/7/2020,9,341315,Cape Fear Valley Bladen Hospital,SHPR
,,,,,,,,,,,,,,,1/12/2021,,102,Womack Army Medical Center,MCRHC
69,6,64,37,74,106,2,28,18,10,5,503,409,58,37,1/25/2021,94,340001,Atrium Health - Cabarrus,MHPC
20,3,6,4,4,4,0,2,1,0,0,18,13,3,0,1/23/2021,5,340159,Person Memorial Hospital,DHPC
49,0,0,6,6,0,0,0,0,0,0,27,17,0,0,1/21/2021,10,341325,Ashe Memorial Hospital,THPC
0,3,9,3,3,5,0,0,2,1,2,37,16,6,0,12/26/2020,21,341326,Angel Medical Center,MAHPC
0,0,0,1,1,0,0,0,0,1,0,14,12,0,0,1/9/2021,2,341317,LifeBright Community Hospital of Stokes,THPC
48,6,21,33,36,30,0,3,0,3,1,285,215,15,3,11/20/2020,70,340155,Duke Regional Hospital,DHPC
58,9,19,13,15,15,0,4,0,1,0,84,72,10,2,1/31/2021,12,340075,Carolinas HealthCare System Blue Ridge Morganton,MHPC
14,0,10,18,18,9,0,6,0,1,0,54,50,10,0,11/30/2020,4,340186,Vidant Beaufort Hospital,EHPC
5,1,9,8,12,0,0,2,0,0,0,95,70,8,4,11/1/2020,25,340016,Harris Hosptial,MAHPC
0,9,25,27,27,16,0,4,1,3,0,295,173,16,0,12/13/2020,122,340050,Southeastern Regional Medical Center,DHPC
40,4,10,13,16,6,0,1,3,1,1,98,57,6,3,11/3/2020,41,340109,Sentara Albemarle Medical Center,EHPC
30,7,110,146,230,187,2,37,14,27,1,996,795,103,84,1/12/2021,201,340014,Novant Health - Forsyth MC,THPC
37,5,12,9,14,26,1,6,0,3,0,142,132,7,5,12/11/2020,10,340042,Onslow Memorial Hospital,EHPC
0,1,9,2,3,4,0,0,4,0,2,37,19,8,1,1/3/2021,18,341326,Angel Medical Center,MAHPC
0,0,0,2,2,0,0,0,0,0,0,6,2,0,0,1/11/2021,4,341320,Alleghany Memorial Hospital,THPC
281,8,69,101,189,93,1,13,9,8,2,864,672,61,88,1/5/2021,192,340053,Novant Health - Presbyterian,MHPC
29,2,8,14,15,17,0,2,0,2,0,81,52,6,1,11/4/2020,29,340097,Hugh Chatham Memorial Hospital,THPC
29,0,8,14,15,19,0,2,0,2,0,81,70,8,1,12/15/2020,11,340097,Hugh Chatham Memorial Hospital,THPC
12,1,12,4,11,6,0,6,1,2,0,97,59,11,7,1/1/2021,38,340129,Lake Norman Regional Medical Center,MHPC
31,5,6,4,4,1,0,0,0,0,0,31,13,1,0,11/24/2020,18,341328,Murphy Medical Center Erlanger Western Carolina Hospital,MAHPC
25,9,24,15,24,29,0,7,0,4,0,204,176,15,9,12/7/2020,28,340116,Frye Regional MC,THPC
1,0,0,2,2,0,0,0,0,0,0,12,5,0,0,12/15/2020,7,341305,Swain Hospital,MAHPC
11,0,0,2,2,0,0,0,0,0,0,12,8,0,0,11/17/2020,4,341303,FirstHealth Montgomery Memorial Hospital,MCRHC
0,2,9,2,3,0,0,0,3,0,0,30,19,7,1,11/9/2020,11,341319,Transylvania Regional Hospital,MAHPC
0,5,9,3,3,1,0,0,0,0,0,30,13,4,0,11/14/2020,17,341319,Transylvania Regional Hospital,MAHPC
16,0,14,8,13,33,0,8,0,5,0,126,116,14,5,1/3/2021,10,340008,Scotland Health Care System,MHPC
56,2,8,10,10,8,1,4,1,2,1,67,38,6,0,11/13/2020,29,340024,Sampson Regional Medical Center,MCRHC
65,2,12,15,17,8,0,1,1,0,3,170,155,10,2,11/17/2020,15,340173,Wake Medical Center Cary,CapRAC
7,0,9,10,10,5,1,2,2,0,1,34,33,9,0,11/7/2020,1,340120,Vidant Duplin Hospital,EHPC
29,2,8,14,15,19,0,2,0,2,0,81,60,6,1,11/2/2020,21,340097,Hugh Chatham Memorial Hospital,THPC
41,13,22,34,37,17,1,2,1,3,3,146,75,9,3,12/15/2020,71,340017,Pardee Hospital,MAHPC
429,32,76,96,120,46,1,11,9,4,19,778,622,44,24,11/25/2020,156,340141,New Hanover Regional MC,SHPR
0,0,0,25,26,0,0,0,0,0,0,38,12,0,1,12/25/2020,26,340148,Novant Health - Medical Park Hospital,THPC
12,0,4,4,4,6,0,4,0,2,0,29,22,4,0,12/25/2020,7,341318,Vidant Chowan Hospital,EHPC
0,0,1,3,4,2,0,0,1,1,1,25,18,1,1,12/14/2020,7,340087,McDowell Hospital,MAHPC
27,0,0,13,13,2,0,0,0,1,0,42,30,0,0,12/19/2020,12,340014,Novant Health - Forsyth MC,THPC
0,0,0,2,2,0,0,0,0,0,0,6,3,0,0,1/23/2021,3,341320,Alleghany Memorial Hospital,THPC
30,3,104,154,230,164,3,47,26,15,3,1009,751,101,76,12/14/2020,258,340014,Novant Health - Forsyth MC,THPC
27,0,0,13,13,3,0,0,0,1,0,42,35,0,0,11/23/2020,7,340014,Novant Health - Forsyth MC,THPC
0,0,0,5,5,5,0,0,3,1,0,23,8,0,0,1/27/2021,15,340084,Atrium Health - Anson,MHPC
0,4,4,3,3,2,0,0,0,0,0,27,19,0,0,12/18/2020,8,341315,Cape Fear Valley Bladen Hospital,SHPR
14,1,10,18,18,17,0,4,0,4,0,62,57,9,0,1/30/2021,5,340186,Vidant Beaufort Hospital,EHPC
0,6,10,5,9,4,0,2,19,0,16,125,49,4,4,11/4/2020,76,340013,Rutherford Regional Hospital,MAHPC
10,1,7,16,18,6,0,0,0,1,0,77,35,6,2,11/11/2020,42,340190,Novant Health - Mint Hill,THPC
0,1,22,40,51,42,1,6,10,4,1,269,169,21,11,12/15/2020,100,340015,Novant Health - Rowan Medical Center,THPC
281,12,69,107,189,63,1,8,4,6,1,864,701,57,82,1/26/2021,163,340053,Novant Health - Presbyterian,MHPC
63,2,17,29,43,24,0,0,2,3,9,250,118,15,14,11/2/2020,132,340010,Wayne UNC Health Care,EHPC
136,4,76,86,123,90,1,26,3,2,10,588,503,72,37,12/15/2020,85,340069,Wake Medical Center,CapRAC
0,2,4,4,4,16,0,1,1,2,2,49,27,2,0,1/27/2021,22,340188,Cape Fear Valley Hoke Hospital,MCRHC
143,4,65,32,57,44,1,9,4,6,30,630,488,61,25,11/25/2020,142,340028,Cape Fear Valley Medical Center,MCRHC
12,0,12,8,11,24,0,5,1,4,0,97,65,12,3,1/13/2021,32,340129,Lake Norman Regional Medical Center,MHPC
0,0,0,2,2,0,0,0,0,0,0,6,0,0,0,1/2/2021,6,341320,Alleghany Memorial Hospital,THPC
18,2,14,24,37,51,0,10,23,8,7,176,136,12,13,1/2/2021,40,340130,Atrium Health - Union,MHPC
0,0,22,36,51,68,2,8,2,6,0,269,173,22,15,1/19/2021,96,340015,Novant Health - Rowan Medical Center,THPC
0,0,0,5,5,4,0,0,2,0,1,23,6,0,0,1/30/2021,17,340084,Atrium Health - Anson,MHPC
10,2,6,8,8,6,0,3,0,2,0,53,40,4,0,1/13/2021,13,340127,Granville Health System,DHPC
36,0,10,18,22,14,1,5,16,0,4,113,73,10,4,11/4/2020,40,340145,Atrium Health - Lincoln,MHPC
0,1,27,24,47,118,0,9,1,7,6,406,358,26,23,12/31/2020,48,340032,CaroMont Health,MHPC
69,19,64,39,59,40,0,13,73,1,19,503,388,45,20,11/16/2020,115,340001,Atrium Health - Cabarrus,MHPC
41,13,22,35,37,1,0,1,2,0,5,147,71,9,2,11/4/2020,76,340017,Pardee Hospital,MAHPC
0,6,14,20,26,4,0,0,1,4,1,261,128,8,6,11/15/2020,133,340027,UNC Lenoir Hospital,EHPC
64,5,15,22,25,8,1,1,0,2,0,183,155,10,3,11/16/2020,28,340073,Duke Raleigh Hospital,DHPC
22,0,6,13,17,27,2,3,6,4,2,62,62,6,4,1/7/2021,0,340068,Columbus Regional Healthcare System,SHPR
23,6,30,9,22,38,1,14,3,3,2,265,182,24,13,12/11/2020,83,340004,WFBMC- High Point MC,THPC
18,2,6,5,7,0,0,0,1,0,1,18,15,4,2,11/12/2020,3,340133,Martin General Hospital,EHPC
